Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
1.0,2.058482,-2.202857,4.261339,-4.95096,0.3831827,-5.334143,2.858663,-3.232098,-1.534379,-0.8631801,-1.965969,1.102789
2.0,2.458709,-3.060324,5.519033,-6.612875,0.4285145,-7.04139,3.734952,-4.289679,-1.830236,-0.9889426,-2.324708,1.335765
3.0,2.121629,-2.865141,4.986769,-6.076241,0.2960405,-6.372281,3.334161,-3.925955,-1.567595,-0.813073,-1.974132,1.161059
4.0,1.420479,-2.103608,3.524087,-4.366676,0.07597886,-4.442655,2.259317,-2.813848,-1.029162,-0.4919818,-1.275153,0.7831715
5.0,0.6561221,-1.191195,1.847317,-2.361152,-0.156812,-2.20434,1.023764,-1.519256,-0.4431858,-0.1528679,-0.5196197,0.3667518
6.0,0.02982384,-0.4255894,0.4554132,-0.683558,-0.3394908,-0.3440672,0.002288222,-0.4405013,0.03685198,0.1190124,0.0963582,0.02265423
7.0,-0.3631736,0.03856507,-0.4017386,0.3477256,-0.4362869,0.7840126,-0.6101498,0.2201519,0.3373449,0.2840697,0.4793798,-0.1953101
8.0,-0.5135922,0.1724776,-0.6860699,0.67747,-0.4421502,1.11962,-0.7808852,0.4292737,0.4505113,0.3403754,0.620699,-0.2803236
9.0,-0.4709236,0.03863191,-0.5095555,0.4396963,-0.3775457,0.8172419,-0.5973938,0.2740937,0.4143572,0.3119068,0.5703105,-0.2584038
10.0,-0.3115064,-0.2521046,-0.05940175,-0.1335103,-0.275641,0.1421307,-0.2088859,-0.09635145,0.2881835,0.2342641,0.4053155,-0.1710514
11.0,-0.1108998,-0.5821786,0.4712788,-0.7999165,-0.172001,-0.6279155,0.2279572,-0.5267287,0.1309522,0.1417228,0.2018137,-0.06009082
12.0,0.0727178,-0.8590788,0.9317966,-1.370051,-0.09496433,-1.275087,0.5900612,-0.8954377,-0.01190741,0.05987403,0.01802961,0.04184442
13.0,0.2062743,-1.034538,1.240812,-1.7431,-0.05863982,-1.68446,0.8129103,-1.137675,-0.1146676,0.002708562,-0.1133133,0.1160218
14.0,0.2803879,-1.104963,1.385351,-1.906143,-0.06157802,-1.844565,0.8914935,-1.245157,-0.170324,-0.02639474,-0.1835214,0.1571267
15.0,0.3021875,-1.095975,1.398162,-1.904862,-0.0922041,-1.812658,0.860227,-1.247069,-0.1848487,-0.03143084,-0.2005641,0.1691332
16.0,0.2865416,-1.042719,1.329261,-1.805887,-0.1355872,-1.6703,0.7673564,-1.18599,-0.1702748,-0.01988009,-0.1802148,0.1603347
17.0,0.2498481,-0.9778883,1.227736,-1.673346,-0.1780987,-1.495247,0.6585742,-1.102812,-0.1397585,0.0002290545,-0.139644,0.139873
18.0,0.2063071,-0.9244607,1.130768,-1.554384,-0.2105155,-1.343869,0.5666765,-1.027614,-0.1045696,0.02215267,-0.09349327,0.1156459
19.0,0.1660046,-0.8935532,1.059558,-1.474039,-0.2289204,-1.245119,0.5080993,-0.9765555,-0.07260327,0.04130503,-0.05195076,0.09325578
20.0,0.1348228,-0.886425,1.021248,-1.438473,-0.2339406,-1.204532,0.4852957,-0.9538364,-0.04832428,0.05529626,-0.02067615,0.07597241
21.0,0.1149041,-0.8976393,1.012543,-1.440337,-0.2291829,-1.211154,0.4909858,-0.9550914,-0.03320206,0.0635791,-0.001412509,0.06499161
22.0,0.1057079,-0.9189382,1.024646,-1.46589,-0.2193836,-1.246506,0.5135612,-0.9717921,-0.02659737,0.0668464,0.006825833,0.06002057
23.0,0.1050782,-0.9424261,1.047504,-1.500934,-0.2089029,-1.292031,0.541564,-0.9949652,-0.02664248,0.06643733,0.006576179,0.05986115
24.0,0.1101317,-0.9623695,1.072501,-1.534322,-0.2008408,-1.333481,0.5663201,-1.017435,-0.03096227,0.06386386,0.0009696557,0.06289421
25.0,0.1179692,-0.9759621,1.093931,-1.559678,-0.1967174,-1.362961,0.5831215,-1.034947,-0.03723325,0.06048181,-0.006992349,0.06747416
26.0,0.1261088,-0.9829095,1.109018,-1.574949,-0.1966766,-1.378272,0.5907978,-1.045964,-0.04351558,0.05731734,-0.01485691,0.07217425
27.0,0.1327882,-0.9846242,1.117412,-1.581315,-0.1999147,-1.3814,0.5907427,-1.051018,-0.0484644,0.05501113,-0.02095883,0.07596996
28.0,0.1370247,-0.9831645,1.120189,-1.581458,-0.2052083,-1.37625,0.5855208,-1.051677,-0.05136412,0.0538371,-0.02444557,0.07828267
29.0,0.1385419,-0.980504,1.119046,-1.578314,-0.211309,-1.367005,0.5778481,-1.049775,-0.05205853,0.05378233,-0.02516737,0.0789497
30.0,0.1376292,-0.9780313,1.115661,-1.574194,-0.2172361,-1.356958,0.5698609,-1.046846,-0.050829,0.05464034,-0.02350884,0.07814917
31.0,0.1349378,-0.9764609,1.111399,-1.570534,-0.2223756,-1.348158,0.5628912,-1.04393,-0.04822968,0.05610771,-0.02017582,0.07628353
32.0,0.1312605,-0.9758869,1.107147,-1.567868,-0.2264858,-1.341382,0.5574481,-1.041517,-0.0449123,0.05786659,-0.015979,0.07384559
33.0,0.1273427,-0.976003,1.103346,-1.566087,-0.2296109,-1.336476,0.5534327,-1.039674,-0.04147802,0.05964314,-0.01165645,0.07129959
34.0,0.1237553,-0.9763499,1.100105,-1.564769,-0.2319651,-1.332804,0.5504194,-1.038228,-0.03837833,0.06124058,-0.007758039,0.06899862
35.0,0.1208354,-0.9765155,1.097351,-1.563461,-0.2338223,-1.329639,0.5479084,-1.036933,-0.03587102,0.06254924,-0.004596398,0.06714564
36.0,0.1186909,-0.9762479,1.094939,-1.561858,-0.2354348,-1.326423,0.545494,-1.035593,-0.03402613,0.06353834,-0.002256959,0.0657953
