# Force and moment coefficients
# dragDir     : (9.985742e-01 0.000000e+00 -5.338206e-02)
# sideDir     : (-0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (5.338206e-02 0.000000e+00 9.985742e-01)
# rollAxis    : (9.985742e-01 0.000000e+00 -5.338206e-02)
# pitchAxis   : (-0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (5.338206e-02 0.000000e+00 9.985742e-01)
# magUInf     : 1.020000e+02
# lRef        : 8.059000e-01
# Aref        : 9.290304e-02
# CofR        : (2.037250e-01 0.000000e+00 9.120000e-02)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.058482e+00	-2.202857e+00	4.261339e+00	-4.950960e+00	3.831827e-01	-5.334143e+00	2.858663e+00	-3.232098e+00	-1.534379e+00	-8.631801e-01	-1.965969e+00	1.102789e+00
2             	2.458709e+00	-3.060324e+00	5.519033e+00	-6.612875e+00	4.285145e-01	-7.041390e+00	3.734952e+00	-4.289679e+00	-1.830236e+00	-9.889426e-01	-2.324708e+00	1.335765e+00
3             	2.121629e+00	-2.865141e+00	4.986769e+00	-6.076241e+00	2.960405e-01	-6.372281e+00	3.334161e+00	-3.925955e+00	-1.567595e+00	-8.130730e-01	-1.974132e+00	1.161059e+00
4             	1.420479e+00	-2.103608e+00	3.524087e+00	-4.366676e+00	7.597886e-02	-4.442655e+00	2.259317e+00	-2.813848e+00	-1.029162e+00	-4.919818e-01	-1.275153e+00	7.831715e-01
5             	6.561221e-01	-1.191195e+00	1.847317e+00	-2.361152e+00	-1.568120e-01	-2.204340e+00	1.023764e+00	-1.519256e+00	-4.431858e-01	-1.528679e-01	-5.196197e-01	3.667518e-01
6             	2.982384e-02	-4.255894e-01	4.554132e-01	-6.835580e-01	-3.394908e-01	-3.440672e-01	2.288222e-03	-4.405013e-01	3.685198e-02	1.190124e-01	9.635820e-02	2.265423e-02
7             	-3.631736e-01	3.856507e-02	-4.017386e-01	3.477256e-01	-4.362869e-01	7.840126e-01	-6.101498e-01	2.201519e-01	3.373449e-01	2.840697e-01	4.793798e-01	-1.953101e-01
8             	-5.135922e-01	1.724776e-01	-6.860699e-01	6.774700e-01	-4.421502e-01	1.119620e+00	-7.808852e-01	4.292737e-01	4.505113e-01	3.403754e-01	6.206990e-01	-2.803236e-01
9             	-4.709236e-01	3.863191e-02	-5.095555e-01	4.396963e-01	-3.775457e-01	8.172419e-01	-5.973938e-01	2.740937e-01	4.143572e-01	3.119068e-01	5.703105e-01	-2.584038e-01
10            	-3.115064e-01	-2.521046e-01	-5.940175e-02	-1.335103e-01	-2.756410e-01	1.421307e-01	-2.088859e-01	-9.635145e-02	2.881835e-01	2.342641e-01	4.053155e-01	-1.710514e-01
11            	-1.108998e-01	-5.821786e-01	4.712788e-01	-7.999165e-01	-1.720010e-01	-6.279155e-01	2.279572e-01	-5.267287e-01	1.309522e-01	1.417228e-01	2.018137e-01	-6.009082e-02
12            	7.271780e-02	-8.590788e-01	9.317966e-01	-1.370051e+00	-9.496433e-02	-1.275087e+00	5.900612e-01	-8.954377e-01	-1.190741e-02	5.987403e-02	1.802961e-02	4.184442e-02
13            	2.062743e-01	-1.034538e+00	1.240812e+00	-1.743100e+00	-5.863982e-02	-1.684460e+00	8.129103e-01	-1.137675e+00	-1.146676e-01	2.708562e-03	-1.133133e-01	1.160218e-01
14            	2.803879e-01	-1.104963e+00	1.385351e+00	-1.906143e+00	-6.157802e-02	-1.844565e+00	8.914935e-01	-1.245157e+00	-1.703240e-01	-2.639474e-02	-1.835214e-01	1.571267e-01
15            	3.021875e-01	-1.095975e+00	1.398162e+00	-1.904862e+00	-9.220410e-02	-1.812658e+00	8.602270e-01	-1.247069e+00	-1.848487e-01	-3.143084e-02	-2.005641e-01	1.691332e-01
