# y+ ()       
# Time        	patch         	min           	max           	average       
100           	onera	8.259231e+01	2.087566e+03	4.561686e+02
200           	onera	8.255989e+01	2.089385e+03	4.559295e+02
300           	onera	8.255900e+01	2.089410e+03	4.559325e+02
400           	onera	8.255774e+01	2.089437e+03	4.559359e+02
500           	onera	8.255657e+01	2.089466e+03	4.559393e+02
600           	onera	8.255657e+01	2.089466e+03	4.559393e+02
700           	onera	8.255657e+01	2.089466e+03	4.559393e+02
800           	onera	8.255657e+01	2.089466e+03	4.559393e+02
900           	onera	8.255657e+01	2.089466e+03	4.559393e+02
1000          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1100          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1200          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1300          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1400          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1500          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1600          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1700          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1800          	onera	8.255657e+01	2.089466e+03	4.559393e+02
1900          	onera	8.255657e+01	2.089466e+03	4.559393e+02
2000          	onera	8.255657e+01	2.089466e+03	4.559393e+02
