iteration,Ux,Uy,Uz,k,omega,p
0,0.999991,1.0,0.999998,1.0,0.0229238,1.0
1,0.0156724,0.0200957,0.0217567,0.268929,0.0115781,0.000623223
2,0.00473633,0.00562225,0.00966331,0.135985,0.00680095,0.0021128
3,0.00244717,0.00295131,0.00511008,0.0836252,0.00434847,0.000210131
4,0.00133469,0.00167438,0.00261094,0.0569752,0.00295658,0.0017057
5,0.000720824,0.000960229,0.00126896,0.0414708,0.0021105,0.000517953
6,0.000600895,0.000752426,0.00118006,0.031662,0.00157203,0.00237674
7,0.000779819,0.000921042,0.00174076,0.0250604,0.00121582,0.0017864
8,0.000936425,0.00116344,0.00214586,0.020351,0.00096989,0.00401144
9,0.000949083,0.00131416,0.00219295,0.0168893,0.000784329,0.000666751
10,0.000877381,0.00143238,0.00199874,0.0142645,0.000646434,0.0613606
11,0.000836485,0.00162368,0.00199324,0.0122041,0.000540997,0.000446205
12,0.000872827,0.0018474,0.00230487,0.0105634,0.000458652,0.00338163
13,0.000888254,0.00194629,0.00250246,0.0092346,0.000393825,0.000321663
14,0.000834594,0.00187858,0.00235826,0.00814274,0.000342067,0.00193697
15,0.000744085,0.00172752,0.00204787,0.00723837,0.000300576,0.000291976
16,0.000658909,0.00157409,0.00177926,0.00647571,0.000266778,0.00196811
17,0.000594996,0.00145747,0.00168363,0.00583047,0.000239344,0.000832013
18,0.000553044,0.00138283,0.0017139,0.00529205,0.000216687,0.00250484
19,0.000522814,0.00134271,0.00176753,0.0048412,0.000197676,0.00174829
20,0.000499657,0.00133148,0.00179622,0.00446471,0.000181499,0.0037352
21,0.000482893,0.00134466,0.0018063,0.00415147,0.000167695,0.000655105
22,0.000471742,0.00137482,0.00182441,0.00388374,0.000156037,0.00965284
23,0.000463142,0.00140615,0.00186805,0.00365852,0.000145372,0.000467724
24,0.000454278,0.00142649,0.0019167,0.00346838,0.000136069,0.0128738
25,0.000443758,0.00143019,0.00194564,0.00330683,0.000127863,0.00043609
26,0.000431988,0.00141724,0.00195729,0.00317165,0.000120594,0.005426
27,0.000419642,0.00139221,0.00196619,0.00305545,0.000114147,0.000707868
28,0.000407236,0.00136003,0.00198942,0.00295531,0.00010832,0.00524212
29,0.000395309,0.00132447,0.00202736,0.00286887,0.000103085,0.00575546
30,0.000384093,0.00128772,0.00206714,0.0027932,9.8381e-05,0.00758044
31,0.000374049,0.0012516,0.0021048,0.00272589,9.41069e-05,0.000722374
32,0.000365437,0.00121752,0.00214065,0.00266594,9.01488e-05,0.0305505
33,0.000358123,0.00118578,0.00217735,0.00261428,8.65178e-05,0.000430749
34,0.000352058,0.00115575,0.00221844,0.00256774,8.33986e-05,0.0102868
35,0.000346843,0.00112706,0.00226447,0.00252453,8.05453e-05,0.000316543
36,0.000342214,0.00109996,0.00231053,0.0024835,7.78903e-05,0.00489001
37,0.000338053,0.0010749,0.0023553,0.0024455,7.53743e-05,0.000280117
38,0.000334206,0.00105202,0.00239903,0.00240805,7.30588e-05,0.00357269
39,0.000330716,0.00103126,0.00244097,0.00236954,7.07674e-05,0.000302494
40,0.000327573,0.00101271,0.00247944,0.00233071,6.86263e-05,0.00313884
41,0.000324904,0.000996272,0.00251238,0.00229349,6.65748e-05,0.000379315
42,0.000322664,0.00098173,0.0025392,0.00225776,6.46594e-05,0.00305276
43,0.000320769,0.000968844,0.00256024,0.00222072,6.27976e-05,0.000569933
44,0.000319096,0.000957482,0.0025765,0.00218506,6.08352e-05,0.00326367
45,0.000317647,0.000947366,0.00258794,0.00214994,5.89391e-05,0.000998198
46,0.000316386,0.000938231,0.00259381,0.00211403,5.71035e-05,0.00394507
47,0.000315221,0.000930003,0.00259343,0.00208023,5.53405e-05,0.00218682
48,0.000314101,0.000922593,0.00258685,0.00204724,5.3643e-05,0.00518932
49,0.000312959,0.00091584,0.00257413,0.0020155,5.19846e-05,0.00633382
50,0.000311832,0.000909579,0.00255592,0.00198478,5.03923e-05,0.00705964
51,0.000310767,0.00090361,0.00253301,0.0019551,4.88641e-05,0.00443971
52,0.000309791,0.000897667,0.00250579,0.00192581,4.74068e-05,0.00925109
53,0.000308819,0.000891552,0.002475,0.00189519,4.60042e-05,0.00152906
54,0.000307834,0.000885144,0.00244109,0.0018655,4.46548e-05,0.0104409
55,0.000306813,0.000878295,0.0024046,0.00183648,4.33627e-05,0.000737258
56,0.000305673,0.000870946,0.00236592,0.00180811,4.21248e-05,0.00950963
57,0.00030434,0.000863132,0.00232562,0.00178021,4.09385e-05,0.000440053
58,0.000302836,0.000854821,0.00228414,0.00175448,3.98322e-05,0.00762101
59,0.000301206,0.000846048,0.0022418,0.00172828,3.88123e-05,0.000304166
60,0.000299559,0.000836972,0.00219907,0.00170157,3.78676e-05,0.00600895
61,0.000298005,0.000827524,0.00215621,0.00167514,3.69888e-05,0.000241738
62,0.000296608,0.000817729,0.00211367,0.00164879,3.61524e-05,0.00486855
63,0.000295112,0.000807642,0.00207182,0.0016235,3.53671e-05,0.000217703
64,0.000293451,0.000797369,0.00203089,0.00159647,3.46479e-05,0.00409457
65,0.000291557,0.000787013,0.00199109,0.00157073,3.3876e-05,0.000212608
66,0.00028937,0.000776791,0.00195304,0.00154342,3.31836e-05,0.00361062
67,0.000286912,0.000766878,0.00191662,0.00151475,3.24341e-05,0.000217703
68,0.000284205,0.000757842,0.00188205,0.00148714,3.17343e-05,0.00336274
69,0.000281191,0.000749748,0.00184936,0.00145777,3.11035e-05,0.000229197
70,0.000277699,0.000742211,0.0018186,0.00142985,3.0429e-05,0.00331173
71,0.000273891,0.000735385,0.00178956,0.00140081,2.98151e-05,0.000244346
72,0.000269857,0.000729323,0.00176234,0.00137327,2.91618e-05,0.00341667
73,0.000265701,0.00072395,0.00173674,0.00134458,2.85682e-05,0.000260156
74,0.000261464,0.000719146,0.00171225,0.00131625,2.79188e-05,0.00362861
75,0.000257263,0.000714717,0.00168866,0.00128885,2.73059e-05,0.000269902
76,0.000253411,0.000710746,0.00166567,0.00125999,2.6751e-05,0.00386656
77,0.000249942,0.000707203,0.00164295,0.00123266,2.61579e-05,0.000267552
78,0.000246458,0.000703764,0.0016199,0.00120478,2.56262e-05,0.00403914
79,0.000242761,0.000699984,0.00159593,0.00117652,2.50316e-05,0.000252449
80,0.000238961,0.000697537,0.00156887,0.00114868,2.44442e-05,0.00409254
81,0.000234937,0.000694621,0.00153932,0.00112239,2.38893e-05,0.000230371
82,0.000230144,0.000687452,0.0015086,0.00109488,2.33869e-05,0.00402013
83,0.000224738,0.000676555,0.00147524,0.00106772,2.28285e-05,0.00020799
84,0.000218992,0.000662627,0.00143891,0.00104086,2.22818e-05,0.00386257
85,0.000213283,0.000646134,0.0013992,0.00101429,2.17467e-05,0.000189292
86,0.000207719,0.000627567,0.00135558,0.000989642,2.12492e-05,0.00366796
87,0.000202273,0.000607042,0.00130779,0.000962521,2.0794e-05,0.000175731
88,0.000196956,0.000584443,0.00125597,0.000935784,2.02776e-05,0.00347205
89,0.000191578,0.000559573,0.00120064,0.000912041,1.97721e-05,0.000166781
90,0.000186758,0.00053245,0.00114278,0.000888606,1.9445e-05,0.00330069
91,0.000182641,0.000503138,0.00108322,0.000864573,1.91187e-05,0.00016154
92,0.000178369,0.000471956,0.00102295,0.000841361,1.88113e-05,0.00316704
93,0.000173841,0.000439473,0.000963404,0.000816926,1.85241e-05,0.000158517
94,0.000169042,0.000406149,0.000906462,0.000792108,1.82062e-05,0.00307596
95,0.000164018,0.000372645,0.000853248,0.000768348,1.79133e-05,0.00015652
96,0.000158787,0.000340976,0.000804389,0.000742617,1.76609e-05,0.0030216
97,0.00015338,0.00031402,0.000762009,0.000716809,1.73488e-05,0.000154554
98,0.000147922,0.000292507,0.000726433,0.000690798,1.70416e-05,0.00298806
99,0.000142418,0.000275673,0.000698828,0.000664573,1.67386e-05,0.000151924
100,0.000136716,0.000262847,0.000676408,0.000638133,1.64401e-05,0.00296439
101,0.000130832,0.000252527,0.00065738,0.000611468,1.6146e-05,0.000148472
102,0.000124852,0.000243893,0.000639412,0.000584569,1.58558e-05,0.00294338
103,0.000118817,0.000236397,0.000621364,0.000557424,1.55693e-05,0.00014432
104,0.000112803,0.000229797,0.000602568,0.000530058,1.52858e-05,0.00291733
105,0.000106875,0.000223558,0.000583451,0.000502541,1.50046e-05,0.000139743
106,0.000101063,0.000217429,0.000564059,0.000474951,1.47253e-05,0.00288486
107,9.54034e-05,0.000211414,0.000544553,0.000448301,1.44613e-05,0.000135092
108,8.99424e-05,0.0002055,0.000524502,0.000422136,1.4219e-05,0.00284873
109,8.47246e-05,0.000199796,0.000504016,0.000395368,1.39954e-05,0.000130711
110,7.97907e-05,0.000194362,0.000483459,0.000368942,1.37003e-05,0.00281117
